"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"599","Eubacteriaceae","Eubacterium [XI][G-3]","Eubacterium [XI][G-3] brachy OT 557","Eubacterium [XI][G-3] brachy OT 557",NA,NA,NA,NA,NA,NA,NA
"600","Eubacteriaceae","Eubacterium [XI][G-5]","Eubacterium [XI][G-5] saphenum OT 759","Eubacterium [XI][G-5] saphenum OT 759",NA,NA,NA,NA,NA,NA,NA
"601","Eubacteriaceae","Eubacterium [XI][G-6]","Eubacterium [XI][G-6] nodatum OT 694","Eubacterium [XI][G-6] nodatum OT 694",NA,NA,NA,NA,NA,NA,NA
"602","Filifactoraceae","Filifactor","Filifactor alocis OT 539","Filifactor alocis OT 539",NA,NA,NA,NA,NA,NA,NA
"603","Lachnospiraceae","Lachnospiraceae [G-8]","Lachnospiraceae [G-8] sp. OT 500",NA,NA,NA,NA,NA,NA,NA,NA
"604","Eubacteriaceae","Mogibacterium","Mogibacterium timidum OT 042",NA,NA,NA,NA,NA,NA,NA,NA
"605","Peptostreptococcaceae","Parvimonas","Parvimonas micra OT 111",NA,NA,NA,NA,NA,NA,NA,NA
"606","Peptostreptococcaceae","Peptostreptococcaceae [XI]","Peptostreptococcaceae [XI][G-2] sp. OT 091","Peptostreptococcaceae [XI][G-2] sp. OT 091",NA,NA,NA,NA,NA,NA,NA
"607","Peptostreptococcaceae","Peptostreptococcaceae [XI]","Peptostreptococcaceae [XI][G-4] sp. OT 369",NA,NA,NA,NA,NA,NA,NA,NA
"608","Peptostreptococcaceae","Peptostreptococcaceae [XIII]","Peptostreptococcaceae [XIII][G-1] sp. OT 113",NA,NA,NA,NA,NA,NA,NA,NA
"609","Porphyromonadaceae","Porphyromonas","Porphyromonas endodontalis OT 273",NA,NA,NA,NA,NA,NA,NA,NA
"610","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis OT 619",NA,NA,NA,NA,NA,NA,NA,NA
"611","Veillonellaceae","Selenomonas","Selenomonas sputigena OT 151",NA,NA,NA,NA,NA,NA,NA,NA
"612","Streptococcaceae","Streptococcus","Streptococcus sp. OT 071",NA,NA,NA,NA,NA,NA,NA,NA
"613","Synergistaceae","Synergistetes [G-3]","Synergistetes [G-3] sp. OT 360",NA,NA,NA,NA,NA,NA,NA,NA
"614","Synergistaceae","Synergistetes [G-3]","sp. OT 362","sp. OT 362",NA,NA,NA,NA,NA,NA,NA
"615","Synergistaceae","Synergistetes [G-3]","sp. OT 363","sp. OT 363",NA,NA,NA,NA,NA,NA,NA
"616","Not specified","TM7 [G-1]","sp. OT 349","sp. OT 349",NA,NA,NA,NA,NA,NA,NA
"617","Not specified","TM7 [G-5]","sp. OT 356","sp. OT 356",NA,NA,NA,NA,NA,NA,NA
"618","Tannerellaceae","Tannerella","forsythia OT 613","forsythia OT 613",NA,NA,NA,NA,NA,NA,NA
"619","Spirochaetaceae","Treponema","lecithinolyticum OT 653","lecithinolyticum OT 653",NA,NA,NA,NA,NA,NA,NA
"620","Spirochaetaceae","Treponema","maltophilum OT 664","maltophilum OT 664",NA,NA,NA,NA,NA,NA,NA
"621","Spirochaetaceae","Treponema","socranskii OT 769","socranskii OT 769",NA,NA,NA,NA,NA,NA,NA
"622","Unclassified","Unclassified","Unclassified Clostridiales",NA,NA,NA,NA,NA,NA,NA,NA
"623","Veillonellaceae","Veillonellaceae [G-1]","sp. OT 145","sp. OT 145",NA,NA,NA,NA,NA,NA,NA
"624","Not specified","Bacteroidetes [G-3]","sp. OT 280","sp. OT 280",NA,NA,NA,NA,NA,NA,NA
"625","Not specified","Bacteroidetes [G-6]","sp. OT 516","sp. OT 516",NA,NA,NA,NA,NA,NA,NA
"626","Lachnospiraceae","Eubacterium [XI][G-6]","minutum OT 673","minutum OT 673",NA,NA,NA,NA,NA,NA,NA
"627","Lachnospiraceae","Lachnospiraceae [G-4]","sp. OT 373","sp. OT 373",NA,NA,NA,NA,NA,NA,NA
"628","Mycoplasmataceae","Mycoplasma","faucium OT 606","faucium OT 606",NA,NA,NA,NA,NA,NA,NA
"629","Peptostreptococcaceae","Peptostreptococcus","stomatis OT 112","stomatis OT 112",NA,NA,NA,NA,NA,NA,NA
"630","Lachnospiraceae","Pseudoramibacter","alactolyticus OT 538","alactolyticus OT 538",NA,NA,NA,NA,NA,NA,NA
"631","Streptococcaceae","Streptococcus","constellatus OT 576","constellatus OT 576",NA,NA,NA,NA,NA,NA,NA
"632","Synergistaceae","Synergistetes [G-3]","sp. OT 361","sp. OT 361",NA,NA,NA,NA,NA,NA,NA
"633","Spirochaetaceae","Treponema","sp. OT 257","sp. OT 257",NA,NA,NA,NA,NA,NA,NA
"634","Campylobacteraceae","Campylobacter","rectus",NA,NA,NA,NA,NA,NA,NA,NA
"635","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"636","Prevotellaceae","Prevotella","endonticula","endonticula",NA,NA,NA,NA,NA,NA,NA
"637","Prevotellaceae","Prevotella","intermedia",NA,NA,NA,NA,NA,NA,NA,NA
"638","Prevotellaceae","Prevotella","tannerae",NA,NA,NA,NA,NA,NA,NA,NA
"639","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"640","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"641","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"642","Selenomonadaceae","Selenomonas","sp. CS002 (OT 131)","sp. CS002 (OT 131)",NA,NA,NA,NA,NA,NA,NA
"643","Selenomonadaceae","Selenomonas","sputigena",NA,NA,NA,NA,NA,NA,NA,NA
"644","Selenomonadaceae","Selenomonas","sputigena",NA,NA,NA,NA,NA,NA,NA,NA
"645","Neisseriaceae","Eikenella","corrodens",NA,"sp. (9988936)","sp. (9988936)","Streptococcus","anginosus and gordonii_ot543_622",NA,"anginosus",NA
"646",NA,NA,NA,NA,"oligofermentans HOT 886","oligofermentans HOT 886",NA,NA,NA,NA,NA
"647",NA,NA,NA,NA,"oralis HOT 707","oralis HOT 707",NA,NA,NA,NA,NA
"648",NA,NA,NA,NA,"parasanguinis HOT 721","parasanguinis HOT 721",NA,NA,NA,NA,NA
"649",NA,NA,NA,NA,"parasanguinis II HOT 411","parasanguinis II HOT 411",NA,NA,NA,NA,NA
"650",NA,NA,NA,NA,"peroris HOT 728","peroris HOT 728",NA,NA,NA,NA,NA
"651",NA,NA,NA,NA,"pneumoniae HOT 734","pneumoniae HOT 734",NA,NA,NA,NA,NA
"652",NA,NA,NA,NA,"pyogenes HOT 745","pyogenes HOT 745",NA,NA,NA,NA,NA
"653",NA,NA,NA,NA,"sanguinis HOT 758","sanguinis HOT 758",NA,NA,NA,NA,NA
"654",NA,NA,NA,NA,"sp. oral taxon 056 HOT 56","sp. oral taxon 056 HOT 56",NA,NA,NA,NA,NA
"655",NA,NA,NA,NA,"sp. oral taxon 058 HOT 58","sp. oral taxon 058 HOT 58",NA,NA,NA,NA,NA
"656",NA,NA,NA,NA,"sp. oral taxon 066 HOT 66","sp. oral taxon 066 HOT 66",NA,NA,NA,NA,NA
"657",NA,NA,NA,NA,"pestis HOT 827","pestis HOT 827",NA,NA,NA,NA,NA
"658",NA,NA,NA,NA,"viscosus II",NA,NA,NA,NA,NA,NA
"659",NA,NA,NA,NA,"coli",NA,NA,NA,NA,NA,NA
"660",NA,NA,NA,NA,"alocis",NA,NA,NA,NA,NA,NA
"661",NA,NA,NA,NA,"nucleatum spp. vincentii (strain 49)","nucleatum spp. vincentii (strain 49)",NA,NA,NA,NA,NA
"662","Actinomycetaceae","Actinobaculum","suis","suis","ot131","ot131",NA,NA,NA,NA,NA
"663","Actinomycetaceae","Actinomyces","georgiae","georgiae","gerencseriae _ot618","gerencseriae _ot618",NA,NA,NA,NA,NA
"664","Actinomycetaceae","Actinomyces","meyeri","meyeri","ot274","ot274",NA,NA,NA,NA,NA
"665","Actinomycetaceae","Actinomyces","odontolyticus",NA,"sp. _ot322","sp. _ot322",NA,NA,NA,NA,NA
"666","Actinomycetaceae","Arcanobacterium","bernardiae","bernardiae","cepacia _ot571","cepacia _ot571",NA,NA,NA,NA,NA
"667","Bacteroidaceae","Bacteroides","graminisolvens","graminisolvens","Cluster1_ot580_748_763","Cluster1_ot580_748_763",NA,NA,NA,NA,NA
"668","Sphingomonadaceae","Blastomonas","natatoria","natatoria","gracilis_ot623","gracilis_ot623",NA,NA,NA,NA,NA
"669","Campylobacteraceae","Campylobacter","gracilis","gracilis","showae_ot763","showae_ot763",NA,NA,NA,NA,NA
"670","Flavobacteriaceae","Capnocytophaga","gingivalis",NA,"granulosa_ot325_326","granulosa_ot325_326",NA,NA,NA,NA,NA
"671","Flavobacteriaceae","Capnocytophaga","granulosa","granulosa","sputigena_ot775","sputigena_ot775",NA,NA,NA,NA,NA
"672","Flavobacteriaceae","Capnocytophaga","ochracea",NA,"hominis_ot633","hominis_ot633",NA,NA,NA,NA,NA
"673","Corynebacteriaceae","Corynebacterium","durum","durum","saburreum_ot494","saburreum_ot494",NA,NA,NA,NA,NA
"674","Corynebacteriaceae","Corynebacterium","matruchotii","matruchotii","sp._ot082","sp._ot082",NA,NA,NA,NA,NA
"675","Weeksellaceae","Elizabethkingia","meningoseptica","meningoseptica","nucleatum ss. nucleatum and animalis_ot420_698","nucleatum ss. nucleatum and animalis_ot420_698",NA,NA,NA,NA,NA
"676","Aerococcaceae","Gemella","haemolysans","haemolysans","parainfluenzae_ot718","parainfluenzae_ot718",NA,NA,NA,NA,NA
"677","Aerococcaceae","Gemella","sanguinis","sanguinis","oralis and Neisseria sp._ot009_706","oralis and Neisseria sp._ot009_706",NA,NA,NA,NA,NA
"678","Carnobacteriaceae","Granulicatella","adiacens","adiacens","oralis_ot706","oralis_ot706",NA,NA,NA,NA,NA
"679","Pasteurellaceae","Haemophilus","parainfluenzae",NA,"mirabilis_ot022","mirabilis_ot022",NA,NA,NA,NA,NA
"680","Comamonadaceae","Lautropia","mirabilis","mirabilis","buccalis and goodfellowii_ot563","buccalis and goodfellowii_ot563",NA,NA,NA,NA,NA
"681","Leptotrichiaceae","Leptotrichia","buccalis","buccalis","hofstadii_ot223_224","hofstadii_ot223_224",NA,NA,NA,NA,NA
"682","Leptotrichiaceae","Leptotrichia","hofstadii","hofstadii","hofstadii_ot224","hofstadii_ot224",NA,NA,NA,NA,NA
"683","Leptotrichiaceae","Leptotrichia","shahii","shahii","loescheii_ot472_658","loescheii_ot472_658",NA,NA,NA,NA,NA
"684","Neisseriaceae","Neisseria","flavescens","flavescens","noxia_ot130_140","noxia_ot130_140",NA,NA,NA,NA,NA
"685","Neisseriaceae","Neisseria","lactamica","lactamica","cristatus_ot058_578","cristatus_ot058_578",NA,NA,NA,NA,NA
"686","Neisseriaceae","Neisseria","mucosa",NA,"mitis bv2_ot069_39","mitis bv2_ot069_39",NA,NA,NA,NA,NA
"687","Porphyromonadaceae","Porphyromonas","catoniae","catoniae","sp. HansH6 and 7A_ot070_071","sp. HansH6 and 7A_ot070_071",NA,NA,NA,NA,NA
"688","Prevotellaceae","Prevotella","saccharolytica","saccharolytica","sp._ot286","sp._ot286",NA,NA,NA,NA,NA
"689","Propionibacteriaceae","Propionibacterium","humerusii","humerusii","naeslundii HOT 176 V1 2 176","naeslundii HOT 176 V1 2 176",NA,NA,NA,NA,NA
"690","Micrococcaceae","Rothia","aeria","aeria","oris HOT 893 V1 2 325","oris HOT 893 V1 2 325",NA,NA,NA,NA,NA
"691","Streptococcaceae","Streptococcus","australis","australis","sp V1 2 447","sp V1 2 447",NA,NA,NA,NA,NA
"692","Streptococcaceae","Streptococcus","bovis","bovis","haemolysans HOT 626 V1-2 153","haemolysans HOT 626 V1-2 153",NA,NA,NA,NA,NA
"693","Streptococcaceae","Streptococcus","cristatus","cristatus","sp V1 2 337","sp V1 2 337",NA,NA,NA,NA,NA
"694","Streptococcaceae","Streptococcus","fryi","fryi","flavescens HOT 610 V1 2 49","flavescens HOT 610 V1 2 49",NA,NA,NA,NA,NA
"695","Streptococcaceae","Streptococcus","infantis","infantis","sp V1 2 156","sp V1 2 156",NA,NA,NA,NA,NA
"696","Streptococcaceae","Streptococcus","oligofermentans","oligofermentans","noxia HOT 130 V1 2 141","noxia HOT 130 V1 2 141",NA,NA,NA,NA,NA
"697","Streptococcaceae","Streptococcus","oralis",NA,"noxia HOT 130 V1 2 39","noxia HOT 130 V1 2 39",NA,NA,NA,NA,NA
"698","Streptococcaceae","Streptococcus","parasanguinis","parasanguinis","sp V1 2 84","sp V1 2 84",NA,NA,NA,NA,NA
"699","Streptococcaceae","Streptococcus","pseudopneumoniae","pseudopneumoniae","sp V1 2 160","sp V1 2 160",NA,NA,NA,NA,NA
"700","Streptococcaceae","Streptococcus","sanguinis",NA,"sp HOT 065 V1 2 280","sp HOT 065 V1 2 280",NA,NA,NA,NA,NA
"701","Streptococcaceae","Streptococcus","tigurinus","tigurinus","sp V1 2 15","sp V1 2 15",NA,NA,NA,NA,NA
"702","Streptococcaceae","Streptococcus","vestibularis","vestibularis","sp V1 2 324","sp V1 2 324",NA,NA,NA,NA,NA
"703","Streptococcaceae","Streptococcus","gordonii",NA,"sp V1 2 554","sp V1 2 554",NA,NA,NA,NA,NA
"704","Veillonellaceae","Veillonella","atypica","atypica","G1 sp HOT 347 V1 2 238","G1 sp HOT 347 V1 2 238",NA,NA,NA,NA,NA
"705","Veillonellaceae","Veillonella","dispar","dispar","oral taxon 170","oral taxon 170",NA,NA,NA,NA,NA
"706","Veillonellaceae","Veillonella","parvula",NA,"haemolysans",NA,NA,NA,NA,NA,NA
"707",NA,NA,NA,NA,"naeslundii oral taxon 176","naeslundii oral taxon 176",NA,NA,NA,NA,NA
"708","Moraxellaceae","Acinetobacter","baumannii","baumannii","sp. oral taxon 169","sp. oral taxon 169",NA,NA,NA,NA,NA
"709","Actinomycetaceae","Actinobaculum","HOT.183","HOT.183","sp. oral taxon 170","sp. oral taxon 170",NA,NA,NA,NA,NA
"710","Actinomycetaceae","Actinomyces","dentalis","dentalis","sp. oral taxon 171","sp. oral taxon 171",NA,NA,NA,NA,NA
"711","Actinomycetaceae","Actinomyces","georgiae",NA,"sp. oral taxon 175","sp. oral taxon 175",NA,NA,NA,NA,NA
"712","Actinomycetaceae","Actinomyces","gerencseriae",NA,"gingivalis oral taxon 337","gingivalis oral taxon 337",NA,NA,NA,NA,NA
"713","Actinomycetaceae","Actinomyces","graevenitzii","graevenitzii","durum oral taxon 595","durum oral taxon 595",NA,NA,NA,NA,NA
"714","Actinomycetaceae","Actinomyces","HOT.169","HOT.169","matruchotii oral taxon 666","matruchotii oral taxon 666",NA,NA,NA,NA,NA
"715","Actinomycetaceae","Actinomyces","HOT.170","HOT.170","nucleatum subsp. polymorphum oral taxon 202","nucleatum subsp. polymorphum oral taxon 202",NA,NA,NA,NA,NA
"716","Actinomycetaceae","Actinomyces","HOT.171","HOT.171","haemolysans oral taxon 626","haemolysans oral taxon 626",NA,NA,NA,NA,NA
"717","Actinomycetaceae","Actinomyces","HOT.177","HOT.177","adiacens oral taxon 534","adiacens oral taxon 534",NA,NA,NA,NA,NA
"718","Actinomycetaceae","Actinomyces","HOT.448","HOT.448","sp. oral taxon 279","sp. oral taxon 279",NA,NA,NA,NA,NA
"719","Actinomycetaceae","Actinomyces","HOT.525","HOT.525","aeria oral taxon 188","aeria oral taxon 188",NA,NA,NA,NA,NA
"720","Actinomycetaceae","Actinomyces","HOT.848","HOT.848","dentocariosa oral taxon 587","dentocariosa oral taxon 587",NA,NA,NA,NA,NA
"721","Actinomycetaceae","Actinomyces","HOT.877","HOT.877","cristatus oral taxon 578","cristatus oral taxon 578",NA,NA,NA,NA,NA
"722","Actinomycetaceae","Actinomyces","HOT.896","HOT.896","gordonii oral taxon 622","gordonii oral taxon 622",NA,NA,NA,NA,NA
"723","Actinomycetaceae","Actinomyces","johnsonii","johnsonii","mitis oral taxon 677","mitis oral taxon 677",NA,NA,NA,NA,NA
"724","Actinomycetaceae","Actinomyces","massiliensis","massiliensis","mitis bv2 oral taxon 398","mitis bv2 oral taxon 398",NA,NA,NA,NA,NA
"725","Actinomycetaceae","Actinomyces","meyeri",NA,"sanguis oral taxon 758","sanguis oral taxon 758",NA,NA,NA,NA,NA
"726","Actinomycetaceae","Actinomyces","naeslundii",NA,"sp. oral taxon 64","sp. oral taxon 64",NA,NA,NA,NA,NA
"727","Actinomycetaceae","Actinomyces","oricola","oricola","vestibularis oral taxon 21","vestibularis oral taxon 21",NA,NA,NA,NA,NA
"728","Actinomycetaceae","Actinomyces","oris",NA,"parvula oral taxon 161","parvula oral taxon 161",NA,NA,NA,NA,NA
"729","Actinomycetaceae","Actinomyces","radicidentis","radicidentis","-",NA,NA,NA,NA,NA,NA
"730","Pasteurellaceae","Aggregatibacter","HOT.512","HOT.512","Actinomyces georgiae",NA,NA,NA,NA,NA,NA
"731","Pasteurellaceae","Aggregatibacter","HOT.898","HOT.898","Actinomyces johnsonii",NA,NA,NA,NA,NA,NA
"732","Prevotellaceae","Alloprevotella","HOT.473","HOT.473","Aggregatibacter DQ003635","Aggregatibacter DQ003635",NA,NA,NA,NA,NA
"733","Prevotellaceae","Alloprevotella","HOT.912","HOT.912","Aggregatibacter Other",NA,NA,NA,NA,NA,NA
"734","Prevotellaceae","Alloprevotella","HOT.913","HOT.913","Campylobacter Other",NA,NA,NA,NA,NA,NA
"735","Prevotellaceae","Alloprevotella","HOT.914","HOT.914","Capnocytophaga s__ (???)",NA,NA,NA,NA,NA,NA
"736","Prevotellaceae","Alloprevotella","rava","rava","Capnocytophaga Other",NA,NA,NA,NA,NA,NA
"737","Bifidobacteriaceae","Alloscardovia","omnicolens","omnicolens","Capnocytophaga X089","Capnocytophaga X089",NA,NA,NA,NA,NA
"738","Actinomycetaceae","Arcanobacterium","haemolyticum","haemolyticum","Capnocytophaga leadbetteri",NA,NA,NA,NA,NA,NA
"739","Atopobiaceae","Atopobium","HOT.416","HOT.416","Corynebacterium Other",NA,NA,NA,NA,NA,NA
"740","Atopobiaceae","Atopobium","sp","sp","Corynebacterium matruchotii",NA,NA,NA,NA,NA,NA
"741","Bacillaceae","Bacillus","subtilis","subtilis","Kingella Other",NA,NA,NA,NA,NA,NA
"742","[G-3]","Bacteroidales [G-3]","HOT.911","HOT.911","Kingella denitrificans",NA,NA,NA,NA,NA,NA
"743","Bacteroidaceae","Bacteroides","tectus","tectus","Kingella oralis",NA,NA,NA,NA,NA,NA
"744","Bacteroidaceae","Bacteroides","ureolyticus","ureolyticus","Leptotrichia Other",NA,NA,NA,NA,NA,NA
"745","[G-3]","Bacteroidetes [G-3]","HOT.365","HOT.365","Neisseria flava mucosa pharyngis",NA,NA,NA,NA,NA,NA
"746","[G-5]","Bacteroidetes [G-5]","HOT.507","HOT.507","Oribacterium sinus",NA,NA,NA,NA,NA,NA
"747","Bdellovibrionaceae","Bdellovibrio","HOT.039","HOT.039","Porphyromonas CW034","Porphyromonas CW034",NA,NA,NA,NA,NA
"748","Bifidobacteriaceae","Bifidobacterium","animalis","animalis","Porphyromonas Other",NA,NA,NA,NA,NA,NA
"749","Bifidobacteriaceae","Bifidobacterium","scardovii","scardovii","Prevotella oral taxon 781","Prevotella oral taxon 781",NA,NA,NA,NA,NA
"750","Alcaligenaceae","Bordetella","pertussis","pertussis","Propionibacterium Other",NA,NA,NA,NA,NA,NA
"751","Caulobacteraceae","Brevundimonas","diminuta","diminuta","SR1 AF125207","SR1 AF125207",NA,NA,NA,NA,NA
"752","Burkholderiaceae","Burkholderia","cepacian","cepacian","Selenomonas artemidis",NA,NA,NA,NA,NA,NA
"753","Flavobacteriaceae","Capnocytophaga","haemolytica","haemolytica","Shewanella algae",NA,NA,NA,NA,NA,NA
"754","Flavobacteriaceae","Capnocytophaga","HOT.863","HOT.863","Tannerella BU063","Tannerella BU063",NA,NA,NA,NA,NA
"755","Flavobacteriaceae","Capnocytophaga","HOT.901","HOT.901","Oral taxon 100","Oral taxon 100",NA,NA,NA,NA,NA
"756","Cardiobacteriaceae","Cardiobacterium","hominis",NA,"Comamonadaceae Other",NA,NA,NA,NA,NA,NA
"757","Caulobacteraceae","Caulobacter","HOT.002","HOT.002","Actinomyces viscosus naeslundii oris",NA,NA,NA,NA,NA,NA
"758","Corynebacteriaceae","Corynebacterium","diphtheriae","diphtheriae","Aggregatibacter aprophilus",NA,NA,NA,NA,NA,NA
"759","Corynebacteriaceae","Corynebacterium","durum",NA,"Campylobacter sp.",NA,NA,NA,NA,NA,NA
"760","Corynebacteriaceae","Corynebacterium","HOT.184","HOT.184","Capnocytophaga sp.",NA,NA,NA,NA,NA,NA
"761","Corynebacteriaceae","Corynebacterium","matruchotii",NA,"Capnocytophaga sputigena",NA,NA,NA,NA,NA,NA
"762","Corynebacteriaceae","Corynebacterium","mucifaciens","mucifaciens","Cardiobacterium hominis",NA,NA,NA,NA,NA,NA
"763","Corynebacteriaceae","Corynebacterium","urealyticum","urealyticum","Corynebacterium sp.",NA,NA,NA,NA,NA,NA
"764","Comamonadaceae","Defluvibacter","lusatiensis","lusatiensis","Kingella sp.",NA,NA,NA,NA,NA,NA
"765","Veillonellaceae","Dialister","micraerophilus","micraerophilus","Leptotrichia sp.",NA,NA,NA,NA,NA,NA
"766","Dietziaceae","Dietzia","HOT.368","HOT.368","Neisseria sp.",NA,NA,NA,NA,NA,NA
"767","Erysipelotrichaceae","Erysipelothrix","tonsillarum","tonsillarum","Porphyromonas sp.",NA,NA,NA,NA,NA,NA
"768","Fusobacteriaceae","Fusobacterium","gonidiaformans","gonidiaformans","Prevotella BS041","Prevotella BS041",NA,NA,NA,NA,NA
"769","Fusobacteriaceae","Fusobacterium","necrophorum","necrophorum","Prevotella loescheii",NA,NA,NA,NA,NA,NA
"770","Pasteurellaceae","Haemophilus","HOT.908","HOT.908","Prevotella melaninogenica",NA,NA,NA,NA,NA,NA
"771","Helicobacteraceae","Helicobacter","pylori","pylori","Prevotella oris",NA,NA,NA,NA,NA,NA
"772","Neisseriaceae","Jonquetella","anthropic","anthropic","Prevotella oulorum",NA,NA,NA,NA,NA,NA
"773","Neisseriaceae","Kingella","kingae","kingae","Prevotella sp.",NA,NA,NA,NA,NA,NA
"774","Neisseriaceae","Kingella","oralis","oralis","Prevotella tannerae",NA,NA,NA,NA,NA,NA
"775","Enterobacteriaceae","Kluyvera","ascorbata","ascorbata","Rothia dentocariosa",NA,NA,NA,NA,NA,NA
"776","Micrococcaceae","Kocuria","HOT.189","HOT.189","Selenomonas flueggei",NA,NA,NA,NA,NA,NA
"777","Dermacoccaceae","Kytococcus","sedentarius","sedentarius","Selenomonas noxia",NA,NA,NA,NA,NA,NA
"778","Lachnospiraceae","Lachnospiraceae [G-5]","HOT.455","HOT.455","SR1 AF125207","SR1 AF125207",NA,NA,NA,NA,NA
"779","Lactobacillaceae","Lactobacillus [XVII]","catenaformis","catenaformis","Tannerella sp.",NA,NA,NA,NA,NA,NA
"780","Lactobacillaceae","Lactobacillus","buchneri","buchneri","sp.",NA,NA,NA,NA,NA,NA
"781","Lactobacillaceae","Lactobacillus","jensenii","jensenii","Escherichia coli HOT574/AA74","Escherichia coli HOT574/AA74",NA,NA,NA,NA,NA
"782","Lactobacillaceae","Lactobacillus","panis","panis","Gemella haemolysans HOT626/AG51","Gemella haemolysans HOT626/AG51",NA,NA,NA,NA,NA
"783","Lactobacillaceae","Lactobacillus","reuteri","reuteri","Gemella haemolysans HOT626/Globicatella sanguinis HOT757/K63","Gemella haemolysans HOT626/Globicatella sanguinis HOT757/K63",NA,NA,NA,NA,NA
"784","Lactobacillaceae","Lactobacillus","rhamnosus","rhamnosus","Granulicatella adiacens HOT534/AB30","Granulicatella adiacens HOT534/AB30",NA,NA,NA,NA,NA
"785","Lactobacillaceae","Lactobacillus","vaginalis","vaginalis","Granulicatella adiacens HOT534/Granulicatella elegans HOT596","Granulicatella adiacens HOT534/Granulicatella elegans HOT596",NA,NA,NA,NA,NA
"786","Streptococcaceae","Lactococcus","lactis","lactis","Granulicatella elegans HOT596/AB29","Granulicatella elegans HOT596/AB29",NA,NA,NA,NA,NA
"787","Burkholderiaceae","Lautropia","mirabilis",NA,"Haemophilus parainfluenzae HOT718/W79","Haemophilus parainfluenzae HOT718/W79",NA,NA,NA,NA,NA
"788","Comamonadaceae","Leptothrix","HOT.024","HOT.024","Klebsiella pneumoniae HOT731/Klebsiella pneumonia ss ozaenae","Klebsiella pneumoniae HOT731/Klebsiella pneumonia ss ozaenae",NA,NA,NA,NA,NA
"789","Leptotrichiaceae","Leptotrichia","goodfellowii","goodfellowii","Neisseria polysaccharea HOT737","Neisseria polysaccharea HOT737",NA,NA,NA,NA,NA
"790","Listeriaceae","Listeria","monocytogenes","monocytogenes","Pseudomonas Cluster/096","Pseudomonas Cluster/096",NA,NA,NA,NA,NA
"791","Bacillaceae","Lysinibacillus","fusiformis","fusiformis","Rothia dentocariosa HOT587/W98","Rothia dentocariosa HOT587/W98",NA,NA,NA,NA,NA
"792","Veillonellaceae","Megasphaera","HOT.841","HOT.841","Salmonella infantis HOT638","Salmonella infantis HOT638",NA,NA,NA,NA,NA
"793","Veillonellaceae","Mitsuokella","HOT.131","HOT.131","Streptococcus sp. HOT065/Y74","Streptococcus sp. HOT065/Y74",NA,NA,NA,NA,NA
"794","Veillonellaceae","Mitsuokella","multacida","multacida","Streptococcus australis HOT073/AH32","Streptococcus australis HOT073/AH32",NA,NA,NA,NA,NA
"795","Actinomycetaceae","Mobiluncus","mulieris","mulieris","Streptococcus australis HOT073/AH33","Streptococcus australis HOT073/AH33",NA,NA,NA,NA,NA
"796","[G-2]","Mollicutes [G-2]","HOT.906","HOT.906","Streptococcus oralis HOT707","Streptococcus oralis HOT707",NA,NA,NA,NA,NA
"797","Eubacteriaceae","Moryella","HOT.419","HOT.419","Streptococcus parasanguinis I HOT721","Streptococcus parasanguinis I HOT721",NA,NA,NA,NA,NA
"798","Mycobacteriaceae","Mycobacterium","leprae","leprae","Streptococcus salivarius HOT755/Streptococcus vestibularis A","Streptococcus salivarius HOT755/Streptococcus vestibularis A",NA,NA,NA,NA,NA
"799","Mycobacteriaceae","Mycobacterium","neoaurum","neoaurum","Eubacterium saburreum",NA,NA,NA,NA,NA,NA
"800","Mycobacteriaceae","Mycobacterium","tuberculosis","tuberculosis","Lachnospiraceae oral taxon 082","Lachnospiraceae oral taxon 082",NA,NA,NA,NA,NA
"801","Mycoplasmataceae","Mycoplasma","pneumoniae","pneumoniae","Lachnospiraceae oral taxon 107","Lachnospiraceae oral taxon 107",NA,NA,NA,NA,NA
"802","Neisseriaceae","Neisseria","elongata","elongata","Leptotrichia hofstadii",NA,NA,NA,NA,NA,NA
"803","Neisseriaceae","Neisseria","weaver","weaver","Oribacterium sp. oral taxon 108","Oribacterium sp. oral taxon 108",NA,NA,NA,NA,NA
"804","Lachnospiraceae","Oribacterium","HOT.372","HOT.372","Peptoniphilus indolicus",NA,NA,NA,NA,NA,NA
"805","Comamonadaceae","Ottowia","HOT.894","HOT.894","Peptoniphilus sp. oral taxon 386","Peptoniphilus sp. oral taxon 386",NA,NA,NA,NA,NA
"806","Paenibacillaceae","Paenibacillus","HOT.048","HOT.048","Rothia aeria",NA,NA,NA,NA,NA,NA
"807","Paenibacillaceae","Paenibacillus","sp","sp","Corynebacterium matruchotii",NA,NA,NA,NA,NA,NA
"808","Peptococcaceae","Peptococcus","HOT.168","HOT.168","Aggregatibacter (no species provided)",NA,NA,NA,NA,NA,NA
